Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.050116,0.052755,0.049970,0.051586,20,21049
Mar 30 2018,0.051924,0.052775,0.048404,0.050109,20,21808
Mar 29 2018,0.056387,0.056387,0.050539,0.052054,51,23683
Mar 27 2018,0.051792,0.051958,0.049190,0.051207,121,21753
Mar 26 2018,0.053509,0.053802,0.049783,0.051870,123,22474
Mar 25 2018,0.050338,0.055015,0.049587,0.053550,127,21142
Mar 24 2018,0.052758,0.053240,0.050919,0.051041,6,22159
Mar 23 2018,0.051134,0.052001,0.051112,0.052001,6,21476
Mar 22 2018,0.052573,0.053618,0.052493,0.053252,1,22081
Mar 21 2018,0.052625,0.054123,0.051925,0.052669,1,22102
Mar 20 2018,0.053119,0.054226,0.051413,0.052529,7,22310
Mar 19 2018,0.054957,0.056583,0.050347,0.052533,241,23082
Mar 18 2018,0.052230,0.055761,0.049071,0.055189,3,21937
Mar 17 2018,0.051552,0.051659,0.048983,0.049397,5,21652
Mar 16 2018,0.054107,0.057450,0.050533,0.051467,72,22725
Mar 15 2018,0.070581,0.150423,0.023096,0.054137,5941,29644
Mar 14 2018,0.073415,0.075120,0.068763,0.070613,25,30834
Mar 13 2018,0.078527,0.081930,0.076671,0.078644,3,32981
Mar 12 2018,0.079257,0.079658,0.076138,0.078980,3,33288
Mar 11 2018,0.067131,0.067411,0.064839,0.066577,2,28195
Mar 10 2018,0.081022,0.082050,0.066751,0.067363,4,34029
Mar 09 2018,0.072210,0.121484,0.066485,0.080987,334,30328
Mar 08 2018,0.076933,0.078521,0.070508,0.072670,215,32312
Mar 07 2018,0.083393,0.084647,0.081334,0.082542,15,35025
Mar 06 2018,0.154976,0.154976,0.082522,0.083502,18,65090
Mar 05 2018,0.088187,0.157226,0.087582,0.155406,40,37038
Mar 04 2018,0.137278,0.137388,0.085287,0.088251,2,57657
Mar 03 2018,0.135455,0.137912,0.135261,0.137515,1,56891
Mar 01 2018,0.103250,0.110634,0.102446,0.108999,1,43365
Feb 28 2018,0.095660,0.105585,0.079679,0.103098,9,40177
Feb 27 2018,0.108272,0.112686,0.095563,0.095773,36,45474
Feb 26 2018,0.134238,0.136051,0.099397,0.107960,3,56380
Feb 25 2018,0.111504,0.113437,0.107162,0.110400,1,46832
Feb 24 2018,0.136980,0.141730,0.111673,0.111673,3,57532
Feb 23 2018,0.137336,0.144461,0.134209,0.137153,3,57681
Feb 22 2018,0.146216,0.152375,0.136201,0.137465,2,61411
Feb 21 2018,0.156582,0.156872,0.096037,0.146365,122,65765
Feb 20 2018,0.145229,0.164100,0.118024,0.156778,783,60996
Feb 19 2018,0.092658,0.145455,0.092372,0.145097,3,38916
Feb 18 2018,0.154644,0.157284,0.092868,0.093086,75,64950
Feb 17 2018,0.141588,0.155082,0.094109,0.154171,120,59467
Feb 16 2018,0.089502,0.142067,0.086471,0.141620,4,37591
Feb 15 2018,0.131323,0.137912,0.086897,0.089886,686,55156
Feb 14 2018,0.110604,0.131582,0.076106,0.131252,633,46454
Feb 13 2018,0.075807,0.076152,0.075347,0.075347,1,31839
Feb 12 2018,0.101329,0.101904,0.069387,0.075669,1,42558
Feb 11 2018,0.107128,0.107128,0.063803,0.100688,177,44994
Feb 10 2018,0.104353,0.108723,0.098488,0.107220,416,43828
Feb 09 2018,0.066948,0.104601,0.063048,0.104277,1,28118
Feb 08 2018,0.068209,0.068646,0.065485,0.066743,166,28648
Feb 06 2018,0.076205,0.080060,0.065195,0.077778,36,32006
Feb 05 2018,0.090010,0.092037,0.073186,0.076108,35,37804
Feb 04 2018,0.101317,0.102820,0.086868,0.090892,85,42553
Feb 03 2018,0.097401,0.104196,0.090133,0.101266,8,40909
Feb 02 2018,0.095809,0.100042,0.081358,0.097070,40,40240
Feb 01 2018,0.104963,0.107589,0.091175,0.096008,57,44085
Jan 31 2018,0.080535,0.083182,0.077475,0.079300,44,33825
Jan 30 2018,0.089934,0.112471,0.079075,0.080409,94,37772
Jan 29 2018,0.104283,0.105633,0.088206,0.089904,72,43799
Jan 28 2018,0.086200,0.111220,0.085938,0.104382,35,36204
Jan 27 2018,0.127945,0.131434,0.085551,0.085761,89,53737
Jan 26 2018,0.100443,0.129515,0.084084,0.128030,28,42186
Jan 25 2018,0.138655,0.141956,0.084131,0.100711,1028,58235
Jan 24 2018,0.131703,0.139156,0.128093,0.136410,1,55316
Jan 23 2018,0.136181,0.138190,0.131779,0.131779,1,57196
Jan 22 2018,0.110276,0.113226,0.107500,0.112201,28,46316
Jan 21 2018,0.121519,0.121519,0.106473,0.108789,27,51038
Jan 20 2018,0.150644,0.164944,0.087646,0.121237,92,63271
Jan 19 2018,0.135322,0.155878,0.132358,0.149024,164,56835
Jan 18 2018,0.133670,0.145267,0.128405,0.136760,14,56141
Jan 17 2018,0.148488,0.152280,0.079114,0.133156,16,62365
Jan 16 2018,0.177510,0.177510,0.132005,0.149245,115,74554
Jan 15 2018,0.162764,0.185750,0.090861,0.177289,409,68361
Jan 14 2018,0.094495,0.164560,0.087297,0.163953,397,39688
Jan 13 2018,0.156530,0.179717,0.092774,0.094433,458,65742
Jan 12 2018,0.134952,0.157346,0.086948,0.156709,137,56680
Jan 11 2018,0.149815,0.150362,0.117766,0.134066,124,62923
Jan 10 2018,0.119318,0.149984,0.086848,0.149984,762,50114
Jan 09 2018,0.092618,0.124256,0.089872,0.119162,92,38900
Jan 08 2018,0.109923,0.110336,0.089876,0.092871,92,46168
Jan 07 2018,0.116117,0.116117,0.107256,0.110077,241,48769
Jan 06 2018,0.192259,0.222085,0.113021,0.116202,2210,80749
Jan 05 2018,0.081826,0.192483,0.065487,0.192106,2072,34367
Jan 04 2018,0.081530,0.082842,0.077439,0.081810,1347,34243
Jan 03 2018,0.074179,0.082876,0.073974,0.081086,1320,31155
Jan 02 2018,0.060216,0.078190,0.060216,0.074443,1535,25291
Jan 01 2018,0.062357,0.062399,0.057586,0.060221,113,26190
Dec 31 2017,0.050731,0.062690,0.050227,0.062116,34,21307
Dec 30 2017,0.038269,0.052819,0.032138,0.051285,2,16073
Dec 29 2017,0.038050,0.039780,0.037153,0.038365,11,15981
Dec 28 2017,0.069356,0.069650,0.036267,0.037660,55,29130
Dec 27 2017,0.070316,0.073522,0.065805,0.069502,31,29533
Dec 26 2017,0.061430,0.071659,0.061178,0.070265,81,25801
Dec 25 2017,0.037330,0.062361,0.035156,0.061492,7,15679
Dec 24 2017,0.060520,0.063662,0.035410,0.036947,5,25418
Dec 20 2017,0.045985,0.045985,0.041866,0.042273,34,19314
Dec 19 2017,0.085144,0.085449,0.044504,0.046030,47,35761
Dec 18 2017,0.084050,0.085862,0.082269,0.085072,21,35301
Dec 17 2017,0.085697,0.087860,0.083021,0.084293,2,35993
Dec 16 2017,0.045705,0.086363,0.045128,0.085686,2,19196
Dec 15 2017,0.074479,0.081155,0.045147,0.045641,8,31281
Dec 14 2017,0.073526,0.076616,0.072695,0.074367,15,30881
Dec 13 2017,0.077396,0.078424,0.071394,0.073763,6,32507
Dec 12 2017,0.074081,0.078540,0.072345,0.077332,15,31114
Dec 11 2017,0.050163,0.076280,0.049943,0.073844,40,21068
Dec 10 2017,0.060150,0.060150,0.043554,0.050527,617,25263
Dec 09 2017,0.076440,0.077573,0.058622,0.059907,3,32105
Dec 08 2017,0.065950,0.076528,0.049443,0.076517,79,27699
Dec 07 2017,0.043268,0.065796,0.042715,0.065796,6,18173
Dec 06 2017,0.037442,0.043403,0.037442,0.043342,18,15726
Dec 05 2017,0.029723,0.038135,0.029459,0.037526,1,12484
Dec 04 2017,0.028752,0.029665,0.028433,0.029665,2,12076
Nov 29 2017,0.036237,0.041752,0.036237,0.037170,32,15220
Nov 28 2017,0.039997,0.040917,0.036103,0.036273,31,16799
Nov 27 2017,0.042861,0.044751,0.034524,0.039894,20,18002
Nov 26 2017,0.044611,0.044611,0.042418,0.042853,2,18737
Nov 25 2017,0.040968,0.043455,0.040736,0.043164,2,17206
Nov 24 2017,0.020093,0.041362,0.019710,0.041051,2,8439
