Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.009230,0.011375,0.007805,0.009009,944,57632
Mar 30 2018,0.007934,0.009345,0.007396,0.009229,7,49538
Mar 29 2018,0.009927,0.009943,0.007722,0.007954,3,61980
Mar 28 2018,0.009656,0.010123,0.009602,0.009915,3,60288
Mar 27 2018,0.009149,0.010241,0.009148,0.009736,4,57127
Mar 26 2018,0.009453,0.009504,0.008794,0.009163,16,59021
Mar 25 2018,0.011394,0.012589,0.009417,0.009460,179,71143
Mar 24 2018,0.011675,0.013130,0.011553,0.011553,32,72894
Mar 23 2018,0.014792,0.014792,0.011295,0.011507,250,92361
Mar 22 2018,0.013699,0.014862,0.011796,0.014793,151,85535
Mar 21 2018,0.011843,0.015999,0.010779,0.013724,480,73944
Mar 20 2018,0.009486,0.017025,0.009299,0.011821,1200,59226
Mar 19 2018,0.008354,0.016463,0.008303,0.009381,1127,52162
Mar 18 2018,0.012855,0.014523,0.006556,0.008389,1286,80265
Mar 17 2018,0.011539,0.015806,0.009335,0.012886,706,72048
Mar 16 2018,0.010656,0.012097,0.009261,0.011520,110,66535
Mar 15 2018,0.009848,0.010792,0.009234,0.010662,37,61492
Mar 14 2018,0.010339,0.010830,0.009461,0.009853,201,64553
Mar 13 2018,0.008998,0.010489,0.008883,0.010337,35,56181
Mar 12 2018,0.008494,0.009448,0.007402,0.009050,228,53038
Mar 11 2018,0.008688,0.009871,0.008069,0.008521,57,54243
Mar 10 2018,0.009260,0.010233,0.007417,0.007485,856,57816
Mar 09 2018,0.010687,0.010814,0.008691,0.009256,209,66731
Mar 08 2018,0.011077,0.011304,0.010150,0.010755,9,69166
Mar 07 2018,0.012327,0.012512,0.010862,0.011093,1,76966
Mar 06 2018,0.013346,0.013346,0.011177,0.012343,52,83331
Mar 05 2018,0.013222,0.013540,0.013132,0.013383,4,82558
Mar 04 2018,0.011669,0.013232,0.011320,0.013232,2,72857
Mar 03 2018,0.012562,0.012965,0.011426,0.011689,40,78436
Mar 02 2018,0.012757,0.013045,0.010956,0.012578,107,79654
Mar 01 2018,0.009086,0.012874,0.009015,0.012790,129,56731
Feb 28 2018,0.009598,0.011053,0.009065,0.009073,40,59928
Feb 27 2018,0.010930,0.011374,0.008842,0.009609,27,68247
Feb 26 2018,0.010353,0.011039,0.009974,0.010899,41,64645
Feb 25 2018,0.008533,0.010458,0.008394,0.010340,130,53276
Feb 24 2018,0.010147,0.010498,0.008269,0.008545,96,63354
Feb 23 2018,0.008368,0.010218,0.008162,0.010160,62,52249
Feb 22 2018,0.008792,0.009162,0.008287,0.008376,61,54895
Feb 21 2018,0.011950,0.011950,0.008715,0.008801,303,74613
Feb 20 2018,0.010836,0.011277,0.010836,0.011153,1,67660
Feb 19 2018,0.010076,0.010920,0.010045,0.010826,20,62913
Feb 18 2018,0.010761,0.010944,0.009906,0.010123,3,67188
Feb 17 2018,0.008664,0.010791,0.008553,0.010728,2,54100
Feb 16 2018,0.008577,0.008732,0.008286,0.008666,85,53553
Feb 15 2018,0.008514,0.008623,0.008420,0.008614,38,53161
Feb 14 2018,0.007233,0.007966,0.007233,0.007901,4,45164
Feb 13 2018,0.007563,0.008446,0.007133,0.007255,80,47222
