Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,2.85,6.34,2.85,5.10,6232400,10364900
Mar 30 2018,3.14,3.19,2.76,2.87,226133,11389700
Mar 29 2018,3.84,3.90,3.02,3.15,267662,13893300
Mar 28 2018,4.17,4.22,3.80,3.83,399047,15058500
Mar 27 2018,4.19,4.46,3.98,4.17,486236,15088000
Mar 26 2018,4.80,4.93,3.98,4.16,488075,17263300
Mar 25 2018,4.74,4.99,4.57,4.85,384134,17025000
Mar 24 2018,5.32,5.55,4.78,4.81,894627,19064900
Mar 23 2018,5.63,5.63,5.14,5.25,525086,20145400
Mar 22 2018,6.15,6.23,5.57,5.60,665396,21942100
Mar 21 2018,6.45,6.62,6.06,6.15,776645,22981500
Mar 20 2018,6.31,6.70,6.06,6.43,688769,22418600
Mar 19 2018,6.07,6.70,5.95,6.22,775520,21545700
Mar 18 2018,6.01,6.20,5.27,6.13,776310,21284600
Mar 17 2018,7.08,7.08,5.76,6.07,610767,25005700
Mar 16 2018,6.82,7.33,6.50,7.03,571706,24028100
Mar 15 2018,7.16,7.64,6.45,6.78,1290510,25195600
Mar 14 2018,7.48,9.39,6.98,7.15,3470470,26249600
Mar 13 2018,8.35,8.50,7.31,7.47,1884100,29242900
Mar 12 2018,9.77,10.06,8.13,8.39,2329270,34172500
Mar 11 2018,9.77,10.37,9.09,9.73,1643930,34092000
Mar 10 2018,9.58,11.59,9.30,9.71,3131160,33355700
Mar 09 2018,11.11,11.54,8.41,9.64,6450480,38598100
Mar 08 2018,14.13,15.60,10.36,11.34,13369600,48996300
Mar 07 2018,12.06,21.41,11.93,13.74,46283000,41724500
Mar 06 2018,7.66,14.77,7.16,12.33,19093700,26457300
Mar 05 2018,9.48,9.48,7.31,7.63,3620180,32682600
Mar 04 2018,11.21,11.63,8.81,9.57,3739090,38565600
Mar 03 2018,10.78,12.74,10.73,11.18,3709950,36999100
Mar 02 2018,13.56,13.92,9.60,10.93,13948000,46451000
Mar 01 2018,29.77,29.98,13.52,14.03,19842600,101739000
Feb 28 2018,93.00,122.73,26.83,30.09,108100000,317132000
Feb 27 2018,106.16,106.16,67.45,93.16,80867400,361244000
Feb 26 2018,124.28,127.34,90.97,103.75,36590000,421981000
Feb 25 2018,121.30,137.27,118.19,123.97,17916200,411009000
Feb 24 2018,136.13,138.48,98.93,122.12,41234700,460284000
Feb 23 2018,132.91,146.37,126.05,136.25,12156000,447179000
Feb 22 2018,138.16,159.96,124.87,129.94,18411000,464851000
Feb 21 2018,168.30,168.30,126.12,138.01,23033500,563971000
Feb 20 2018,189.96,199.43,163.25,167.91,24930400,636466000
Feb 19 2018,178.10,199.53,177.28,190.03,17431000,595443000
Feb 18 2018,191.45,191.45,163.21,177.80,15606400,638732000
Feb 17 2018,163.97,194.61,150.23,191.73,18173800,545859000
Feb 16 2018,158.18,166.00,154.97,165.23,9169700,525452000
Feb 15 2018,172.45,172.45,146.85,158.49,17919000,571677000
Feb 14 2018,147.70,179.82,147.70,171.43,37315400,488553000
Feb 13 2018,113.88,149.76,109.57,148.62,35013100,375851000
