Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,28.95,30.45,28.52,29.29,764298,128114000
Mar 30 2018,28.85,29.89,26.97,28.92,861585,127412000
Mar 29 2018,33.69,33.74,28.89,28.89,931396,148592000
Mar 28 2018,33.65,34.11,32.53,33.66,948789,148151000
Mar 27 2018,34.98,37.01,33.22,33.68,778522,153768000
Mar 26 2018,37.30,38.39,33.97,35.13,1111040,163704000
Mar 25 2018,37.99,38.51,37.31,37.52,979950,166444000
Mar 24 2018,40.30,41.33,37.88,38.54,1941210,176217000
Mar 23 2018,40.69,40.69,37.14,39.56,949116,177650000
Mar 22 2018,41.05,43.75,39.17,40.59,1166700,178913000
Mar 21 2018,41.75,44.41,39.86,40.99,2052100,181637000
Mar 20 2018,38.50,41.85,36.16,41.40,1768690,167236000
Mar 19 2018,33.13,38.44,33.09,38.23,1332900,143693000
Mar 18 2018,34.31,34.40,28.46,33.22,1288830,148562000
Mar 17 2018,35.98,36.48,33.70,34.35,903180,155506000
Mar 16 2018,35.71,37.46,33.64,35.95,1024240,154007000
Mar 15 2018,36.08,38.37,33.11,35.65,2099930,155345000
Mar 14 2018,41.09,42.70,35.50,36.11,1591700,176662000
Mar 13 2018,41.22,43.52,40.60,41.11,937751,176913000
Mar 12 2018,43.64,45.57,40.60,41.46,1256250,187012000
Mar 11 2018,40.58,44.12,39.32,43.80,784397,173627000
Mar 10 2018,42.62,44.00,40.38,40.48,941618,182095000
Mar 09 2018,42.09,42.86,35.62,42.86,2244250,179522000
Mar 08 2018,44.18,46.78,41.09,42.37,3828070,188148000
Mar 07 2018,50.15,51.06,41.19,44.33,5079780,213229000
Mar 06 2018,50.97,52.41,48.25,50.28,4072160,216342000
Mar 05 2018,57.29,57.29,51.65,51.65,4034100,242732000
Mar 04 2018,53.78,56.82,52.39,56.82,3609570,227441000
Mar 03 2018,54.62,58.38,52.03,53.92,3600510,230597000
Mar 02 2018,57.20,58.20,54.45,54.56,3985150,241087000
Mar 01 2018,51.54,61.21,50.97,57.42,4823590,216859000
Feb 28 2018,53.38,54.79,49.80,51.29,3789180,224195000
Feb 27 2018,52.88,55.05,51.43,53.64,3379860,221719000
Feb 26 2018,52.34,54.01,48.30,52.80,4130380,219067000
Feb 25 2018,52.45,53.48,49.64,52.15,3526390,219208000
Feb 24 2018,54.40,57.13,50.44,52.74,3772980,226963000
Feb 23 2018,50.12,54.94,47.91,54.37,4922830,208775000
