Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000074,0.000125,0.000071,0.000092,2879,2738600
Mar 30 2018,0.000073,0.000133,0.000069,0.000074,3180,2681490
Mar 29 2018,0.000127,0.000162,0.000072,0.000073,2954,4695300
Mar 28 2018,0.000135,0.000161,0.000081,0.000127,2323,4996340
Mar 27 2018,0.000090,0.000157,0.000082,0.000135,10974,3325400
Mar 26 2018,0.000111,0.000162,0.000087,0.000090,3712,4103320
Mar 25 2018,0.000120,0.000207,0.000097,0.000111,3516,4418350
Mar 24 2018,0.000097,0.000170,0.000095,0.000121,3737,3574280
Mar 23 2018,0.000088,0.000117,0.000085,0.000096,3856,3241680
Mar 22 2018,0.000107,0.000163,0.000093,0.000095,3721,3942670
Mar 21 2018,0.000097,0.000155,0.000097,0.000107,4238,3576870
Mar 20 2018,0.000087,0.000173,0.000084,0.000097,2611,3198820
Mar 19 2018,0.000088,0.000160,0.000085,0.000086,3553,3245500
Mar 18 2018,0.000176,0.000199,0.000080,0.000088,1516,6495410
Mar 17 2018,0.000085,0.000229,0.000083,0.000176,2149,3137270
Mar 16 2018,0.000166,0.000168,0.000085,0.000085,2363,6140110
Mar 15 2018,0.000164,0.000167,0.000085,0.000166,7136,6066790
Mar 14 2018,0.000116,0.000195,0.000090,0.000164,13182,4270310
Mar 13 2018,0.000115,0.000195,0.000101,0.000115,1710,4255250
Mar 12 2018,0.000188,0.000200,0.000105,0.000181,2719,6934070
Mar 11 2018,0.000190,0.000190,0.000094,0.000188,6089,7017770
Mar 10 2018,0.000267,0.000308,0.000116,0.000190,8012,9871380
Mar 09 2018,0.000210,0.000398,0.000152,0.000267,5954,7773810
Mar 08 2018,0.000104,0.000211,0.000102,0.000210,5220,3855540
Mar 07 2018,0.000208,0.000213,0.000104,0.000104,4349,7686250
Mar 06 2018,0.000119,0.000221,0.000113,0.000208,8966,4400750
Mar 05 2018,0.000115,0.000232,0.000114,0.000119,6642,4236700
Mar 04 2018,0.000221,0.000226,0.000111,0.000115,4504,8162860
Mar 03 2018,0.000215,0.000221,0.000114,0.000221,10848,7941790
Mar 02 2018,0.000119,0.000221,0.000114,0.000215,25234,4409910
Mar 01 2018,0.000148,0.000205,0.000112,0.000120,3127,5469330
Feb 28 2018,0.000145,0.000201,0.000110,0.000147,7095,5378980
Feb 27 2018,0.000205,0.000214,0.000104,0.000197,11231,7588410
Feb 26 2018,0.000102,0.000207,0.000096,0.000205,12363,3758870
Feb 25 2018,0.000104,0.000195,0.000096,0.000187,5937,3862390
Feb 24 2018,0.000197,0.000206,0.000099,0.000105,6467,7278960
Feb 23 2018,0.000137,0.000197,0.000104,0.000197,3478,5071740
Feb 22 2018,0.000126,0.000215,0.000112,0.000137,5223,4656300
Feb 21 2018,0.000130,0.000213,0.000118,0.000126,17162,4803810
Feb 20 2018,0.000130,0.000224,0.000118,0.000130,6396,4816730
Feb 19 2018,0.000120,0.000216,0.000115,0.000130,10456,4432050
Feb 18 2018,0.000220,0.000221,0.000110,0.000120,3322,8148790
Feb 17 2018,0.000163,0.000221,0.000108,0.000118,9255,6022120
Feb 16 2018,0.000199,0.000203,0.000102,0.000163,5427,7361530
Feb 15 2018,0.000169,0.000200,0.000111,0.000200,9397,6234100
Feb 14 2018,0.000116,0.000176,0.000115,0.000169,4579,4291620
Feb 13 2018,0.000172,0.000173,0.000088,0.000116,6009,6364510
Feb 12 2018,0.000159,0.000174,0.000089,0.000171,4316,5866250
Feb 11 2018,0.000088,0.000167,0.000081,0.000159,3852,3236260
Feb 10 2018,0.000101,0.000179,0.000084,0.000088,4664,3724870
Feb 09 2018,0.000164,0.000173,0.000080,0.000101,3744,6069520
Feb 08 2018,0.000141,0.000170,0.000081,0.000164,16513,5224550
Feb 07 2018,0.000093,0.000167,0.000084,0.000142,3679,3432370
Feb 06 2018,0.000134,0.000150,0.000065,0.000093,5365,4971130
Feb 05 2018,0.000099,0.000164,0.000073,0.000134,8812,3676580
Feb 04 2018,0.000182,0.000182,0.000085,0.000101,4950,6718110
Feb 03 2018,0.000114,0.000189,0.000092,0.000182,21900,4217590
Feb 02 2018,0.000097,0.000175,0.000084,0.000114,9899,3582380
Feb 01 2018,0.000105,0.000196,0.000088,0.000097,9080,3899100
Jan 31 2018,0.000105,0.000202,0.000102,0.000194,64690,3897770
Jan 30 2018,0.000112,0.000116,0.000098,0.000105,2976,4125660
Jan 29 2018,0.000168,0.000226,0.000111,0.000112,5428,6210920
Jan 28 2018,0.000142,0.000180,0.000115,0.000168,24637,5247930
Jan 27 2018,0.000125,0.000199,0.000113,0.000141,8306,4615070
Jan 26 2018,0.000127,0.000222,0.000114,0.000125,2632,4686230
Jan 25 2018,0.000207,0.000225,0.000111,0.000127,15689,7663050
Jan 24 2018,0.000144,0.000217,0.000110,0.000209,6374,5321110
Jan 23 2018,0.000199,0.000201,0.000109,0.000144,7122,7346580
Jan 22 2018,0.000225,0.000228,0.000111,0.000199,4707,8306170
Jan 21 2018,0.000185,0.000239,0.000116,0.000222,26787,6857720
Jan 20 2018,0.000186,0.000220,0.000131,0.000185,2861,6866310
Jan 19 2018,0.000183,0.000191,0.000134,0.000184,1282,6747780
Jan 18 2018,0.000112,0.000225,0.000110,0.000184,10836,4132890
Jan 17 2018,0.000147,0.000211,0.000094,0.000110,8763,5418840
Jan 16 2018,0.000143,0.000251,0.000116,0.000147,6949,5302930
Jan 15 2018,0.000252,0.000258,0.000138,0.000143,25814,9328440
Jan 14 2018,0.000156,0.000279,0.000139,0.000145,12211,5749600
Jan 13 2018,0.000526,0.000610,0.000152,0.000155,19495,19438000
Jan 12 2018,0.000394,0.000884,0.000342,0.000527,31222,14557200
Jan 11 2018,0.000543,0.000568,0.000370,0.000392,74425,20092200
Jan 10 2018,0.000637,0.000640,0.000470,0.000541,104874,23548800
Jan 09 2018,0.000710,0.000825,0.000565,0.000637,162154,26246600
Jan 08 2018,0.000462,0.000717,0.000354,0.000707,197244,17096200
Jan 07 2018,0.000442,0.000514,0.000383,0.000414,94757,16354700
Jan 06 2018,0.000238,0.000508,0.000236,0.000434,46741,8816720
Jan 05 2018,0.000188,0.000251,0.000179,0.000241,80615,6962240
Jan 04 2018,0.000200,0.000203,0.000168,0.000188,68173,7392010
Jan 03 2018,0.000214,0.000223,0.000168,0.000199,52485,7905610
Jan 02 2018,0.000243,0.000279,0.000167,0.000214,207253,8977800
Jan 01 2018,0.000179,0.000272,0.000170,0.000243,151056,6606080
Dec 31 2017,0.000081,0.000184,0.000080,0.000179,71776,2977770
Dec 30 2017,0.000085,0.000094,0.000072,0.000091,27332,3145120
Dec 29 2017,0.000071,0.000089,0.000069,0.000084,35503,2639830
Dec 28 2017,0.000069,0.000081,0.000056,0.000070,41961,2535440
Dec 27 2017,0.000089,0.000089,0.000059,0.000067,27235,3294880
Dec 26 2017,0.000059,0.000095,0.000048,0.000089,13333,2199000
Dec 25 2017,0.000057,0.000063,0.000046,0.000059,6462,2092360
Dec 24 2017,0.000101,0.000107,0.000054,0.000057,14743,3716370
Dec 23 2017,0.000059,0.000122,0.000059,0.000100,14206,2176050
Dec 22 2017,0.000085,0.000087,0.000048,0.000059,18252,3160270
Dec 21 2017,0.000157,0.000185,0.000076,0.000085,23757,5819920
Dec 20 2017,0.000063,0.000214,0.000062,0.000158,35095,2316400
Dec 19 2017,0.000063,0.000076,0.000041,0.000062,29710,2317770
Dec 18 2017,0.000041,0.000063,0.000023,0.000063,17881,1523890
Dec 17 2017,0.000070,0.000162,0.000040,0.000041,45593,2576950
Dec 16 2017,0.000031,0.000067,0.000021,0.000067,7586,1128650
Dec 15 2017,0.000020,0.000052,0.000020,0.000031,31602,724160
Dec 14 2017,0.000024,0.000033,0.000016,0.000020,11516,879691
Dec 13 2017,0.000041,0.000041,0.000021,0.000023,25256,1511630
Dec 12 2017,0.000115,0.000127,0.000041,0.000041,5961,4242240
Dec 11 2017,0.000026,0.000119,0.000026,0.000114,1008,976721
Dec 10 2017,0.000034,0.000035,0.000025,0.000027,1187,1242810
Dec 09 2017,0.000049,0.000056,0.000026,0.000033,1861,1825990
Dec 08 2017,0.000027,0.000057,0.000025,0.000049,3613,1004450
Dec 07 2017,0.000059,0.000061,0.000024,0.000027,3436,2180100
Dec 06 2017,0.000029,0.000060,0.000029,0.000059,2003,1059910
Dec 05 2017,0.000049,0.000049,0.000018,0.000028,5387,1797810
Dec 04 2017,0.000033,0.000048,0.000028,0.000048,491,1225310
Dec 03 2017,0.000046,0.000046,0.000028,0.000033,2811,1707260
Dec 02 2017,0.000051,0.000088,0.000045,0.000046,1376,1870230
Dec 01 2017,0.000048,0.000072,0.000047,0.000051,668,1790880
Nov 30 2017,0.000083,0.000092,0.000031,0.000049,1391,3065910
Nov 29 2017,0.000062,0.000213,0.000030,0.000082,1855,2289530
Nov 28 2017,0.000034,0.000079,0.000034,0.000062,956,1255660
Nov 27 2017,0.000032,0.000037,0.000024,0.000034,1359,1166180
Nov 26 2017,0.000043,0.000064,0.000021,0.000031,2872,1576190
Nov 25 2017,0.000030,0.000043,0.000025,0.000043,611,1103860
Nov 24 2017,0.000050,0.000058,0.000028,0.000028,2272,1845770
Nov 23 2017,0.000048,0.000055,0.000042,0.000050,1626,1791400
Nov 22 2017,0.000043,0.000054,0.000031,0.000049,3596,1591640
Nov 21 2017,0.000054,0.000055,0.000037,0.000043,7117,1991650
Nov 20 2017,0.000048,0.000057,0.000046,0.000054,14357,1782340
Nov 19 2017,0.000153,0.000153,0.000049,0.000049,22441,5643960
Nov 18 2017,0.000146,0.000154,0.000117,0.000153,6323,5394320
Nov 17 2017,0.000137,0.000152,0.000118,0.000146,3775,5081080
Nov 16 2017,0.000106,0.000138,0.000087,0.000133,7968,3927690
Nov 15 2017,0.000125,0.000134,0.000090,0.000107,10702,4603040
Nov 14 2017,0.000123,0.000130,0.000096,0.000129,6071,4537220
Nov 13 2017,0.000111,0.000123,0.000094,0.000122,6795,4094830
Nov 12 2017,0.000125,0.000126,0.000079,0.000111,8368,4633430
Nov 11 2017,0.000125,0.000130,0.000090,0.000125,5426,4609410
Nov 10 2017,0.000120,0.000128,0.000086,0.000125,10928,4436530
Nov 09 2017,0.000127,0.000140,0.000094,0.000120,1537,4709790
Nov 08 2017,0.000116,0.000141,0.000088,0.000128,4708,4296700
Nov 07 2017,0.000119,0.000135,0.000107,0.000127,3600,4405080
Nov 06 2017,0.000129,0.000142,0.000096,0.000119,4091,4773650
Nov 05 2017,0.000142,0.000147,0.000073,0.000129,30385,5258780
Nov 04 2017,0.000089,0.000145,0.000087,0.000141,5228,3304770
Nov 03 2017,0.000069,0.000137,0.000068,0.000090,16968,2534050
Nov 02 2017,0.000063,0.000084,0.000062,0.000069,1137,2332610
Nov 01 2017,0.000053,0.000074,0.000051,0.000063,1495,1969940
Oct 31 2017,0.000056,0.000063,0.000048,0.000053,675,2058280
Oct 30 2017,0.000060,0.000110,0.000054,0.000056,823,2218790
Oct 29 2017,0.000054,0.000118,0.000053,0.000061,1241,1989000
Oct 28 2017,0.000058,0.000070,0.000053,0.000054,643,2127050
Oct 27 2017,0.000081,0.000083,0.000057,0.000057,768,2990460
Oct 26 2017,0.000055,0.000095,0.000051,0.000081,2581,2027330
Oct 25 2017,0.000095,0.000098,0.000046,0.000055,357,3496750
Oct 24 2017,0.000085,0.000101,0.000057,0.000095,745,3140310
Oct 23 2017,0.000065,0.000100,0.000065,0.000085,825,2416800
Oct 22 2017,0.000077,0.000102,0.000060,0.000065,867,2862740
Oct 21 2017,0.000063,0.000094,0.000059,0.000077,1758,2322980
Oct 20 2017,0.000105,0.000117,0.000056,0.000063,2116,3878870
Oct 19 2017,0.000060,0.000112,0.000056,0.000105,2100,2202790
Oct 18 2017,0.000060,0.000101,0.000059,0.000060,2880,2225040
Oct 17 2017,0.000059,0.000100,0.000058,0.000060,1928,2170030
Oct 16 2017,0.000082,0.000097,0.000056,0.000059,1155,3017290
Oct 15 2017,0.000083,0.000085,0.000055,0.000082,1682,3082370
Oct 14 2017,0.000106,0.000112,0.000069,0.000083,8667,3911400
Oct 13 2017,0.000106,0.000115,0.000062,0.000106,2371,3935460
Oct 12 2017,0.000081,0.000106,0.000058,0.000106,6285,2997930
Oct 11 2017,0.000083,0.000085,0.000074,0.000081,995,3059870
Oct 10 2017,0.000060,0.000093,0.000055,0.000082,1035,2200590
Oct 09 2017,0.000090,0.000094,0.000046,0.000060,2989,3327950
Oct 08 2017,0.000068,0.000090,0.000054,0.000090,985,2520420
Oct 07 2017,0.000045,0.000076,0.000044,0.000068,889,1675790
Oct 06 2017,0.000045,0.000086,0.000044,0.000045,1124,1657080
Oct 05 2017,0.000043,0.000086,0.000042,0.000045,2927,1593070
Oct 04 2017,0.000086,0.000087,0.000043,0.000043,11950,3162050
Oct 03 2017,0.000084,0.000088,0.000044,0.000085,8746,3100160
Oct 02 2017,0.000088,0.000090,0.000049,0.000084,768,3252320
Oct 01 2017,0.000090,0.000090,0.000045,0.000088,9619,3311110
Sep 30 2017,0.000080,0.000090,0.000073,0.000090,1630,2965360
