Date,Open,High,Low,Close,Volume,Market Cap
Mar 31 2018,0.000751,0.000844,0.000699,0.000762,3012,751736
Mar 30 2018,0.000726,0.000788,0.000644,0.000751,2514,726207
Mar 29 2018,0.000794,0.000895,0.000736,0.000790,3487,794770
Mar 28 2018,0.000779,0.000885,0.000703,0.000793,2944,779313
Mar 27 2018,0.000899,0.000901,0.000709,0.000779,2540,899327
Mar 26 2018,0.000931,0.000949,0.000864,0.000900,3652,931424
Mar 25 2018,0.001104,0.001196,0.000698,0.000931,4700,1104780
Mar 24 2018,0.001159,0.001249,0.001117,0.001119,4413,1159480
Mar 23 2018,0.001133,0.001142,0.001013,0.001142,4324,1133690
Mar 22 2018,0.001156,0.001179,0.001109,0.001133,4318,1157360
Mar 21 2018,0.001147,0.001250,0.001069,0.001159,4628,1148210
Mar 20 2018,0.001035,0.001231,0.001018,0.001145,5587,1035630
Mar 19 2018,0.001065,0.001120,0.000989,0.001023,4400,1065600
Mar 18 2018,0.001104,0.001104,0.000897,0.001069,6123,1105020
Mar 17 2018,0.001162,0.001163,0.001038,0.001107,4300,1163140
Mar 16 2018,0.001156,0.001281,0.001113,0.001160,4489,1157420
Mar 15 2018,0.001149,0.001200,0.001022,0.001157,4227,1149920
Mar 14 2018,0.001281,0.001390,0.001081,0.001150,2556,1281950
Mar 13 2018,0.001183,0.001375,0.001174,0.001281,4181,1184060
Mar 12 2018,0.001241,0.001425,0.001156,0.001190,4787,1241770
Mar 11 2018,0.001055,0.001359,0.001019,0.001245,5525,1055900
Mar 10 2018,0.001296,0.001403,0.001045,0.001059,5116,1297410
Mar 09 2018,0.001394,0.001410,0.001217,0.001296,3485,1395140
Mar 08 2018,0.001580,0.001609,0.001359,0.001403,7509,1581710
Mar 07 2018,0.001715,0.001740,0.001509,0.001583,6015,1716140
Mar 06 2018,0.001841,0.001907,0.001622,0.001717,6182,1842340
Mar 05 2018,0.001840,0.001953,0.001712,0.001846,5820,1841110
Mar 04 2018,0.001818,0.001934,0.001694,0.001841,7081,1819120
Mar 03 2018,0.001866,0.001949,0.001684,0.001821,7193,1867800
Mar 02 2018,0.001723,0.002086,0.001722,0.001869,6851,1724800
Mar 01 2018,0.001649,0.001823,0.001585,0.001728,5733,1650840
Feb 28 2018,0.001706,0.001794,0.001577,0.001647,5666,1707690
Feb 27 2018,0.001654,0.001733,0.001598,0.001708,6534,1655140
Feb 26 2018,0.001534,0.001743,0.001505,0.001649,6771,1535090
Feb 25 2018,0.001641,0.001657,0.001400,0.001532,7286,1642350
Feb 24 2018,0.001607,0.001723,0.001460,0.001644,6179,1608600
Feb 23 2018,0.001570,0.001833,0.001450,0.001609,6777,1571310
Feb 22 2018,0.001775,0.001873,0.001498,0.001571,7158,1776190
Feb 21 2018,0.001793,0.001871,0.001555,0.001777,6848,1794420
Feb 20 2018,0.001782,0.001979,0.001698,0.001795,7005,1783500
Feb 19 2018,0.001649,0.001795,0.001644,0.001781,6483,1650120
Feb 18 2018,0.001662,0.001817,0.001508,0.001656,6140,1663410
Feb 17 2018,0.001631,0.001821,0.001601,0.001657,8651,1632000
Feb 16 2018,0.001687,0.001781,0.001525,0.001631,6308,1688670
Feb 15 2018,0.001705,0.001706,0.001547,0.001694,7549,1706100
Feb 14 2018,0.001279,0.001858,0.001279,0.001704,615559,1279780
Feb 13 2018,0.001421,0.001549,0.001149,0.001283,172292,1422100
Feb 12 2018,0.001382,0.001505,0.001304,0.001418,5604,1382980
Feb 11 2018,0.001546,0.001571,0.001373,0.001373,5796,1547000
Feb 10 2018,0.001715,0.001859,0.001475,0.001547,5429,1716880
Feb 09 2018,0.001641,0.001741,0.001254,0.001715,69417,1642520
Feb 08 2018,0.001515,0.001651,0.001099,0.001636,35098,1516200
Feb 07 2018,0.001465,0.001739,0.001003,0.001521,106617,1465740
Feb 06 2018,0.001312,0.001502,0.001113,0.001479,67113,1312870
Feb 05 2018,0.001551,0.001588,0.000982,0.001310,47584,1551940
Feb 04 2018,0.001664,0.001746,0.001466,0.001566,56195,1665330
Feb 03 2018,0.001418,0.001953,0.001170,0.001663,83360,1419470
Feb 02 2018,0.001634,0.001802,0.000846,0.001413,132456,1635670
Feb 01 2018,0.001827,0.001925,0.001555,0.001638,6051,1828650
Jan 31 2018,0.001796,0.001851,0.001634,0.001823,6608,1797520
Jan 30 2018,0.002015,0.002198,0.001788,0.001793,7511,2017050
Jan 29 2018,0.002088,0.002247,0.001951,0.002015,7419,2089670
